time,angle,error,voltage
3.852489471435547,97,-7,-100
3.859941244125366,99,-9,-100
3.8644981384277344,100,-10,-100
3.8704147338867188,101,-11,-100
3.875100612640381,101,-11,-100
3.8814830780029297,102,-12,-100
3.8866982460021973,102,-12,-100
3.8923606872558594,102,-12,-100
3.897040605545044,101,-11,-100
3.9026408195495605,101,-11,-100
3.9088175296783447,100,-10,-100
3.913651943206787,99,-9,-100
3.919379711151123,97,-7,-100
3.924160957336426,96,-6,-100
3.93001651763916,95,-5,-100
3.9345543384552,93,-3,-100
3.940324068069458,91,-1,-100
3.944972276687622,90,0,0
3.9512405395507812,86,4,100
3.9562137126922607,85,5,100
3.9630825519561768,82,8,100
3.9687483310699463,81,9,100
3.9733970165252686,80,10,100
3.979300022125244,79,11,100
3.9841299057006836,78,12,100
3.990029811859131,78,12,100
3.994607925415039,77,13,100
4.000420331954956,77,13,100
4.005111932754517,77,13,100
4.011625289916992,78,12,100
4.0166380405426025,79,11,100
4.022266626358032,80,10,100
4.026957273483276,81,9,100
4.032660961151123,82,8,100
4.038269281387329,83,7,100
4.043047904968262,85,5,100
4.048667669296265,87,3,100
4.053650856018066,89,1,100
4.059505224227905,91,-1,-100
4.066039800643921,94,-4,-100
4.071393013000488,96,-6,-100
4.083042144775391,99,-9,-100
4.0886054039001465,101,-11,-100
4.09339451789856,102,-12,-100
4.099514961242676,103,-13,-100
4.104244947433472,103,-13,-100
4.110315799713135,103,-13,-100
4.116115093231201,103,-13,-100
4.12165379524231,103,-13,-100
4.126601219177246,102,-12,-100
4.1321868896484375,101,-11,-100
4.136821746826172,101,-11,-100
4.142502546310425,100,-10,-100
4.147541046142578,98,-8,-100
4.152799606323242,97,-7,-100
4.1584086418151855,95,-5,-100
4.1646504402160645,93,-3,-100
4.170717716217041,91,-1,-100
4.175417184829712,89,1,100
4.181117534637451,87,3,100
4.186016321182251,85,5,100
4.19201922416687,83,7,100
4.197061061859131,81,9,100
4.202733993530273,80,10,100
4.208343744277954,79,11,100
4.214075803756714,78,12,100
4.220746040344238,77,13,100
4.225315809249878,77,13,100
4.231250762939453,77,13,100
4.236139297485352,77,13,100
4.2422099113464355,78,12,100
4.246903896331787,79,11,100
4.253051280975342,80,10,100
4.258698225021362,81,9,100
4.263391494750977,83,7,100
4.270852565765381,84,6,100
4.2755067348480225,86,4,100
4.281166076660156,88,2,100
4.286113739013672,90,0,0
4.291670560836792,92,-2,-100
4.296632766723633,94,-4,-100
4.302255392074585,96,-6,-100
4.306903123855591,98,-8,-100
4.312558174133301,99,-9,-100
4.319215536117554,101,-11,-100
4.324014186859131,101,-11,-100
4.33018684387207,102,-12,-100
4.334808111190796,102,-12,-100
4.340569972991943,102,-12,-100
4.345617055892944,102,-12,-100
4.3513710498809814,101,-11,-100
4.356234312057495,101,-11,-100
4.361624479293823,99,-9,-100
4.367665767669678,98,-8,-100
4.372966527938843,97,-7,-100
4.378485918045044,96,-6,-100
4.383310317993164,94,-4,-100
4.388944864273071,92,-2,-100
4.396008014678955,90,0,0
4.402003288269043,87,3,100
4.406741380691528,86,4,100
4.412525415420532,84,6,100
4.418896675109863,82,8,100
4.42394495010376,81,9,100
4.429534196853638,79,11,100
4.434292554855347,79,11,100
4.440066337585449,78,12,100
4.444608926773071,78,12,100
4.450412750244141,78,12,100
4.45513916015625,78,12,100
4.461125135421753,78,12,100
4.46598219871521,79,11,100
4.473073244094849,80,10,100
4.4845075607299805,83,7,100
4.49055027961731,84,6,100
4.49518346786499,86,4,100
4.501161098480225,87,3,100
4.50604248046875,90,0,0
4.511658668518066,92,-2,-100
4.51662015914917,94,-4,-100
4.522998332977295,96,-6,-100
4.5285420417785645,97,-7,-100
4.533355236053467,99,-9,-100
4.539198875427246,100,-10,-100
4.544006109237671,101,-11,-100
4.54953145980835,101,-11,-100
4.554262399673462,101,-11,-100
4.559962511062622,101,-11,-100
4.564521312713623,101,-11,-100
4.571112155914307,101,-11,-100
4.576460838317871,100,-10,-100
4.582103729248047,99,-9,-100
4.586771249771118,98,-8,-100
4.592519998550415,97,-7,-100
4.59715723991394,95,-5,-100
4.602804899215698,93,-3,-100
4.608318328857422,91,-1,-100
4.613057374954224,90,0,0
4.618632793426514,88,2,100
